"Aerospace Engineering BS","Chemistry and Biochemistry","20A"
"Aerospace Engineering BS","Chemistry and Biochemistry","20B"
"Aerospace Engineering BS","Chemistry and Biochemistry","20L"
"Aerospace Engineering BS","Chemistry and Biochemistry","M20"
"Aerospace Engineering BS","Chemistry and Biochemistry","31A"
"Aerospace Engineering BS","Chemistry and Biochemistry","31B"
"Aerospace Engineering BS","Chemistry and Biochemistry","32A"
"Aerospace Engineering BS","Chemistry and Biochemistry","32B"
"Aerospace Engineering BS","Chemistry and Biochemistry","33A"
"Aerospace Engineering BS","Mathematics","20A"
"Aerospace Engineering BS","Mathematics","20B"
"Aerospace Engineering BS","Mathematics","20L"
"Aerospace Engineering BS","Mathematics","M20"
"Aerospace Engineering BS","Mathematics","31A"
"Aerospace Engineering BS","Mathematics","31B"
"Aerospace Engineering BS","Mathematics","32A"
"Aerospace Engineering BS","Mathematics","32B"
"Aerospace Engineering BS","Mathematics","33A"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","20A"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","20B"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","20L"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","M20"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","31A"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","31B"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","32A"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","32B"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","33A"
"Aerospace Engineering BS","Computer Science","1"
"Aerospace Engineering BS","Computer Science","1A"
"Aerospace Engineering BS","Computer Science","1B"
"Aerospace Engineering BS","Computer Science","1C"
"Aerospace Engineering BS","Computer Science","31"
"Aerospace Engineering BS","Computer Science","82"
"Aerospace Engineering BS","Computer Science","101"
"Aerospace Engineering BS","Computer Science","102"
"Aerospace Engineering BS","Computer Science","103"
"Aerospace Engineering BS","Computer Science","105A"
"Aerospace Engineering BS","Computer Science","105D"
"Aerospace Engineering BS","Computer Science","107"
"Aerospace Engineering BS","Computer Science","150A"
"Aerospace Engineering BS","Computer Science","157"
"Aerospace Engineering BS","Computer Science","166A"
"Aerospace Engineering BS","Computer Science","171A"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","1"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","1A"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","1B"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","1C"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","31"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","82"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","101"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","102"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","103"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","105A"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","105D"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","107"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","150A"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","157"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","166A"
"Aerospace Engineering BS","Mechanical and Aerospace Engineering","171A"
"Aerospace Engineering BS","Electrical and Computer Engineering","100"
"Aerospace Engineering BS","Mathematics","31A"
"Aerospace Engineering BS","Mathematics","31B"
"Aerospace Engineering BS","Mathematics","32A"
"Aerospace Engineering BS","Mathematics","32B"
"Aerospace Engineering BS","Mathematics","33A"
"African American Studies BA","African American Studies","1"
"African American Studies BA","African American Studies","2"
"African American Studies BA","African American Studies","M5"
"African American Studies BA","African American Studies","6"
"African and Middle Eastern Studies BA","Anthropology","1"
"African and Middle Eastern Studies BA","Anthropology","2"
"African and Middle Eastern Studies BA","Anthropology","3"
