Major,Courses,
"Aerospace Engineering BS","Required: Chemistry and Biochemistry 20A, 20B, 20L; Mathematics 31A, 31B, 32A, 32B, 33A; Mechanical and Aerospace Engineering M20 (or Computer Science 31), 82; Physics 1A, 1B, 1C, 4AL, 4BL.Required: Mechanical and Aerospace Engineering 1, 101, 102, 103, 105A, 105D, 107, 150A, 157, 166A, 171A; two departmental breadth courses (Electrical and Computer Engineering 100 and Materials Science and Engineering 104 — if one or both of these courses are taken as part of the technical breadth requirement, students must select a replacement upper-division course or courses from the department — except for Mechanical and Aerospace Engineering 156A — or, by petition, from outside the department); one of the following two tracks (16 units): aeronautics (150B, C150P, 154A, 154S) or space (C150R, C161A, 161B, 161C); three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; one capstone design course (Mechanical and Aerospace Engineering 157A); one major field elective course (4 units) from the track not chosen (150B or C150P; C150R or 161A) and one major field elective course (4 units) from Mechanical and Aerospace Engineering 150B, C150R, 154S, 161A, 161B, 161C (unless taken as a required course), or from 94, 131A, 133A, 135, 136, C137, CM140, CM141, 150C, C150G, 153A, 155, C156B, 161D, 162A, 166C, M168, 169A, 171B, 172, 174, C175A, 181A, 182B, 182C, 183A, M183B, C183C, 184, 185, C186, C187L.",
"African American Studies BA","Required: Two courses from African American Studies M5, 6, M10A.Required: Twelve upper-division courses as follows: (1) two history and/or literature courses selected from African American Studies M104A through M104D, M150D, M158A through M158E, M179A, (2) two upper-division breadth courses from any of the following departments or programs: American Indian Studies, Asian American Studies, Chicana and Chicano Studies, or Gender Studies, and (3) a concentration of five courses in one of the following tracks and three courses in the other: (a) humanities — African American Studies M102, M103A, M103B, M103E, M104A through M104E, M107, M109, M110A, M110B, M111, CM112A, CM135A, CM135B, M150D, M158A through M158E, M179A, 188A, 188B, C191, and (b) social sciences — African American Studies M114C, M118, M120, M144, M150D, M154C, M158A through M158E, M159P, M164, M165, M167, M172, M173, M178, M179A, M182A, M182B, M182C, M183A, M183B, M183C, 188A, 188B, C191, M194A, M194B.",
"African and Middle Eastern Studies BA","Required: (1) International and Area Studies 1, (2) one area studies course from Afrikaans 40, Art History 28, History 9D, 10B, 97F, 97J, Middle Eastern Studies 50C, Portuguese 40A, or Theater 4, (3) two international politics and markets courses from Economics 1, 2, Geography 4, 6, Political Science 50 (or 50R), Sociology 1, (4) two international societies and cultures courses from Anthropology 3, Comparative Literature 1D (or 2DW or 4DW), Ethnomusicology 5, 25, Geography 3, History 2B, 22, World Arts and Cultures 20, 33, and (5) one area-related foreign language sequence through the intermediate level (e.g., Arabic 102C, Armenian 102C, 105C, Hebrew 102C, Iranian 102C, Turkic Languages 102C, 112C, 116C). The language requirement can also be fulfilled in part or in total by taking a placement examination given through the appropriate language department. Each course must be taken for a letter grade.",
"American Indian Studies BA","Required: American Indian Studies M10 and two courses from Anthropology 3, Gender Studies 10, Political Science 40, Statistics 12. Each course must be completed with a grade of C or better.",
"American Literature and Culture BA","Required: English Composition 3, English 4W or 4HW or 4WS taken in the stated sequence (English Composition 3 is requisite to any English 4 course), 11, 87. A grade of C or better is required in each course.Required: Ten 4- or 5-unit upper-division courses, including (1) seven American literature English courses, at least two in the time period before 1848 and two in the time period after 1848, selected from the following three areas with a minimum of two selected from each area: (a) origins — beginnings, events, and trajectories: studying the making of America in its myriad beginnings and manifestations — courses 100, M102A, M104A, 166A, 166B, 166C, 167A, 167B, 170A, or, when treating American topics, M101B, 106, 123, 169, (b) identities: places, communities, and environments: studying people, collectives and movements across the diverse geographies of the Americas — courses 100, M102A, M102B, M104A through M104E, M105A through M105E, M105SL, 106, 115A, 117, 118E, 135, 168, 170B, 170C, 172C, 173A, 173B, 173C, 174A, 174B, 174C, 175, 176, 177, and, when treating American topics, courses M101B, M101C, M101D, M107A, M107B, 108, 109, M118F, 119, M126, 132, 133, 134, (c) media: aesthetics, genres, and technologies — courses 115A, 167A, 167B, 168, 170A, 170B, 170C, 172C, 173A, 173B, 173C, 174A, 174B, 174C, 175, 177, or, when treating American topics, courses 114, 115C, 115D, 115E, 115SL, 116A, 116B, 121 through 127, 169, 169R; (2) one seminar from 183A, 183B, 183C, M191A, M191B, M191C, or, when treating American topics, 180, 181A, 181B, 182E, 182F, 184, M191D, M191E; and (3) two courses pertaining to American culture offered by other departments from a list of approved courses for the major. Courses 195 and 195CE are not applicable. Each course applied toward requirements for the major must be at least 4 units and be taken for a letter grade.",
"Ancient Near East and Egyptology BA","Required: Three courses selected from Ancient Near East 10W, 15, Middle Eastern Studies M50A, M50B, Near Eastern Languages M20. Each course must be taken for a letter grade.Required Core Courses: One course selected from four of the following five areas (total of four courses):Required Elective Courses: Any six courses (no more than three may be from Anthropology) selected from the categories above or from Ancient Near East 121A, 121B, 121C, C123A, C123B, 124, 125A, M125B, M125C, C177, Anthropology 110, CM110Q, 111, 112R, 130, 140, English 111A, 111B, 111C, Greek 130, Hebrew 125, 130, 135, 188FL, Study of Religion M186A, M186B, M186C, Semitics 130, 141, 142.",
"Anthropology BA","Required: Anthropology 1, 2, 3, 4. Each course must be taken for a letter grade, and students must have an overall grade-point average of 2.0 or better.",
"Anthropology BS","Required: Anthropology 1, 2, 3, 4; Chemistry and Biochemistry 14A, 14B, 14BL, and 14C, or 20A, 20B, 20L, 30A, and 30AL; Life Sciences 30A, 30B, and 40 or Statistics 13, or Mathematics 3A, 3B, 3C, and Statistics 12, or Mathematics 31A, 31B, and Statistics 12; Physics 5A, 5B, and 5C.",
"Business Economics BA","Required: Economics 1, 2, 11, 41, 101; one Writing II course; Management 1A, 1B; Mathematics 31A, and 31B or 31E. Each course must be taken for a letter grade.Required: Economics 102, 103, 103L, and at least two courses from the 106 series; English Composition 131B; five upper-division elective courses in economics and management (no more than three management courses from Management 108, 120A, 120B, 122, 123, 124, 126, 127A, 127B, 130A, 130B, 140 may be applied toward the elective requirement). In addition to Economics 103 and 103L, at least two economics courses with laboratories must be completed and may be selected from either the Economics 106 series or an economics elective.",
"Economics BA","Required: Economics 1, 2, 11, 41; one Writing II course or English Composition 129B; Mathematics 31A, and 31B or 31E. Each course must be taken for a letter grade. A 2.0 (C) grade is required in each premajor course. To enter the major, students must have a minimum 2.5 grade-point average in the economics and mathematics preparation courses and a GPA of at least 2.0 in any upper-division courses taken for the major before applying.Required: Ten upper-division economics courses as follows: Economics 101, 102, 103, 103L, and six Economics Department upper-division elective courses. No more than two of the elective courses may also be selected from Management 120A, 120B, 122, 127A, 130A, 130B, 180 (real estate finance only).",
